Date,Close,High,Low,Open,Volume,Ticker
2023-01-03,122.98271942138672,128.7154174535332,122.09773792777466,128.10576937065363,112117500,AAPL
2023-01-04,124.25119018554688,126.51280869797894,122.99255318811515,124.77234386397704,89113600,AAPL
2023-01-05,122.93354797363281,125.63765344479737,122.67789249421179,125.0083349534918,80962700,AAPL
2023-01-06,127.45679473876953,128.11561145155684,122.80573689838651,123.90704815865084,87754700,AAPL
2023-01-09,127.97794342041016,131.18354745345354,127.72228791640812,128.292610198386,70790800,AAPL
2023-01-10,128.54824829101562,129.06940194282927,125.98180587179891,128.08609090104719,63896200,AAPL
2023-01-11,131.26220703125,131.28186245070447,128.28277553296553,129.0595847172529,69458900,AAPL
2023-01-12,131.18356323242188,132.0193688291939,129.24643878440378,131.64572074057682,71379600,AAPL
2023-01-13,132.51100158691406,132.6683349676498,129.46274610687883,129.8265664212103,57809700,AAPL
2023-01-17,133.67132568359375,134.99878678874634,131.89153482883353,132.57984966159466,63646600,AAPL
2023-01-18,132.9534912109375,136.29674271738915,132.7764874230637,134.53662257229425,69672800,AAPL
2023-01-19,133.01248168945312,133.97612225756075,131.53751520588366,131.8423392118264,58280400,AAPL
2023-01-20,135.56906127929688,135.7165669083965,131.97998269986445,133.0222897939842,80223600,AAPL
2023-01-23,138.75502014160156,140.92814412125819,135.59858513124948,135.81491475833332,81760300,AAPL
2023-01-24,140.15130615234375,140.77079684177573,137.9585269717819,137.9683546796287,66435100,AAPL
2023-01-25,139.49252319335938,140.05300275817604,136.49342112366645,138.53871015801215,65799300,AAPL
2023-01-26,141.55746459960938,141.8426182007582,139.53183124401355,140.78064047196506,54105100,AAPL
2023-01-27,143.49456787109375,144.77287517943125,140.69214050710963,140.77080718806803,70555800,AAPL
2023-01-30,140.61349487304688,143.12094131391822,140.46600420175812,142.54079133466578,64015300,AAPL
2023-01-31,141.8819580078125,141.93112656571586,139.90550801485074,140.31849689379183,65874500,AAPL
2023-02-01,143.00291442871094,144.16322923439725,138.96152054070433,141.56728874190614,77663600,AAPL
2023-02-02,148.30296325683594,148.65694079146772,145.69718026187857,146.4149930473278,118339000,AAPL
2023-02-03,151.92156982421875,154.75351068440185,145.36288637728777,145.55954560277002,154357300,AAPL
2023-02-06,149.19781494140625,150.54496158543438,148.26367223482333,150.0238078121574,69858300,AAPL
2023-02-07,152.0690460205078,152.63936822302708,148.12597415973434,148.12597415973434,83322600,AAPL
2023-02-08,149.3846435546875,152.00025508514892,148.6471601159277,151.31194020980092,64120100,AAPL
2023-02-09,148.35214233398438,151.75440537570756,147.9096553354024,151.213581264491,56007100,AAPL
2023-02-10,148.71653747558594,149.04152741969745,146.95372962642622,147.19009004770194,57450700,AAPL
2023-02-13,151.51339721679688,151.91715888947925,148.62788900472555,148.65743217523777,62199000,AAPL
2023-02-14,150.87327575683594,151.4346261088162,148.568818055862,149.80967642706798,61707600,AAPL
2023-02-15,152.9709014892578,153.1383177826238,150.55811427879883,150.78461690781828,65573800,AAPL
2023-02-16,151.37548828125,153.9556914094499,151.02095529189845,151.1785138216891,68167900,AAPL
2023-02-17,150.233154296875,150.6763169294936,148.55897600306773,150.03619479649413,59144100,AAPL
2023-02-21,146.22496032714844,149.00213887625634,146.15603126407484,147.9188390818426,58867200,AAPL
2023-02-22,146.6484375,147.67263591965713,144.9250155718982,146.60903658364012,51011300,AAPL
2023-02-23,147.13099670410156,148.05672295415894,145.0038129046831,147.81051980369892,48394200,AAPL
